judicial_district_county_id,county_ansi_code,is_entire_county,county_name,judicial_district_id,statutory_division
16043-1,16043,FALSE,"County of Fremont, exclusive of Yellowstone National Park",Idaho,Eastern Division
30031-1,30031,FALSE,"County of Gallatin, exclusive of Yellowstone National Park",Montana,
30067-1,30067,FALSE,"County of Park, exclusive of Yellowstone National Park",Montana,
37063-2,37063,FALSE,"that portion of the County of Durham encompassing the Federal Correctional Institution, Butner, North Carolina",North Carolina Eastern,
37063-1,37063,FALSE,"County of Durham, exclusive of the Federal Correctional Institution, Butner, North Carolina",North Carolina Middle,
16043-2,16043,FALSE,those portions of Yellowstone National Park situated in the County of Fremont,Wyoming,
30031-2,30031,FALSE,those portions of Yellowstone National Park situated in the County of Gallatin,Wyoming,
30067-2,30067,FALSE,those portions of Yellowstone National Park situated in the County of Park,Wyoming,
01001-0,01001,TRUE,County of Autauga,Alabama Middle,Northern Division
01005-0,01005,TRUE,County of Barbour,Alabama Middle,Northern Division
01011-0,01011,TRUE,County of Bullock,Alabama Middle,Northern Division
01013-0,01013,TRUE,County of Butler,Alabama Middle,Northern Division
01017-0,01017,TRUE,County of Chambers,Alabama Middle,Eastern Division
01021-0,01021,TRUE,County of Chilton,Alabama Middle,Northern Division
01031-0,01031,TRUE,County of Coffee,Alabama Middle,Southern Division
01037-0,01037,TRUE,County of Coosa,Alabama Middle,Northern Division
01039-0,01039,TRUE,County of Covington,Alabama Middle,Northern Division
01041-0,01041,TRUE,County of Crenshaw,Alabama Middle,Northern Division
01045-0,01045,TRUE,County of Dale,Alabama Middle,Southern Division
01051-0,01051,TRUE,County of Elmore,Alabama Middle,Northern Division
01061-0,01061,TRUE,County of Geneva,Alabama Middle,Southern Division
01067-0,01067,TRUE,County of Henry,Alabama Middle,Southern Division
01069-0,01069,TRUE,County of Houston,Alabama Middle,Southern Division
01081-0,01081,TRUE,County of Lee,Alabama Middle,Eastern Division
01085-0,01085,TRUE,County of Lowndes,Alabama Middle,Northern Division
01087-0,01087,TRUE,County of Macon,Alabama Middle,Eastern Division
01101-0,01101,TRUE,County of Montgomery,Alabama Middle,Northern Division
01109-0,01109,TRUE,County of Pike,Alabama Middle,Northern Division
01111-0,01111,TRUE,County of Randolph,Alabama Middle,Eastern Division
01113-0,01113,TRUE,County of Russell,Alabama Middle,Eastern Division
01123-0,01123,TRUE,County of Tallapoosa,Alabama Middle,Eastern Division
01007-0,01007,TRUE,County of Bibb,Alabama Northern,Western Division
01009-0,01009,TRUE,County of Blount,Alabama Northern,Southern Division
01015-0,01015,TRUE,County of Calhoun,Alabama Northern,Eastern Division
01019-0,01019,TRUE,County of Cherokee,Alabama Northern,Middle Division
01027-0,01027,TRUE,County of Clay,Alabama Northern,Eastern Division
01029-0,01029,TRUE,County of Cleburne,Alabama Northern,Eastern Division
01033-0,01033,TRUE,County of Colbert,Alabama Northern,Northwestern Division
